id	phenotype
WP_014454105.1	0
WP_071846215.1	1
WP_069985732.1	0
WP_063840281.1	0
WP_063840282.1	0
WP_063840283.1	0
WP_013250882.1	0
WP_063840319.1	0
WP_022631510.1	0
WP_012695458.1	0
WP_071593200.1	0
WP_063978482.1	0
WP_071593230.1	0
WP_071593232.1	0
WP_071846208.1	0
WP_071846209.1	0
WP_065187201.1	0
WP_071846241.1	0
WP_071846249.1	0
WP_071846254.1	0
WP_071846262.1	0
WP_071846281.1	0
WP_071846291.1	0
WP_063612062.1	0
WP_071846301.1	0
WP_071846329.1	0
WP_071846332.1	0
WP_071846361.1	0
WP_071846373.1	0
WP_071846382.1	0
WP_071846385.1	0
WP_022631162.1	0
WP_071846335.1	0
WP_063840280.1	0
WP_140423191.1	0
WP_064765190.1	0
WP_072201103.1	0
WP_069067473.1	0
WP_071984682.1	0
WP_085843736.1	0
WP_085844237.1	0
WP_104442471.1	0
WP_113613509.1	0
WP_117046752.1	0
WP_117065919.1	0
WP_117044474.1	0
WP_159287722.1	0
WP_123085936.1	0
WP_087872512.1	0
WP_126123880.1	0
WP_079452738.1	0
WP_132629969.1	0
WP_134628915.1	0
WP_101516660.1	0
WP_151405943.1	0
WP_148937512.1	0
WP_124042715.1	1
WP_159241551.1	1
WP_071766621.1	1
WP_065187000.1	1
WP_063840321.1	1
WP_063840320.1	1
WP_071766399.1	1
WP_151346866.1	1
WP_131534982.1	1
WP_032488579.1	0
WP_003159191.1	0
